req_id,module,document,section,page,upstream_ids,status,confidence,evidence,rationale
SWS_CANIF_00844,CanIf,can_interface,7.4 Dynamic L-PDUs,34,,missing,1.00,,None of the candidates implement the requirement for supporting dynamic L-PDUs as specified.
SWS_CANIF_00854,CanIf,can_interface,7.4.1 Dynamic Transmit L-PDUs,34,,unverifiable,0.90,,The candidates do not provide sufficient information to determine if the requirement regarding Can_IdType and the associated masks is implemented.
SWS_CANIF_00855,CanIf,can_interface,7.4.1 Dynamic Transmit L-PDUs,34,,missing,1.00,,None of the candidates implement the requirement that specifies the behavior when CanIfTxPduCanIdMask and CanIfTxPduCanId are omitted.
SWS_CANIF_00856,CanIf,can_interface,7.4.1 Dynamic Transmit L-PDUs,34,,unverifiable,0.90,,The provided code does not contain any clear implementation or checks related to the requirement about ignoring CanIfTxPduCanIdMask when the configuration does not include CAN_ID_32.
SWS_CANIF_00857,CanIf,can_interface,7.4.1 Dynamic Transmit L-PDUs,34,,missing,1.00,,The code does not implement the initialization of CanIds for dynamic Transmit L-PDUs as specified in the requirement.
SWS_CANIF_00653,CanIf,can_interface,7.5 Physical channel view,35,,missing,1.00,,None of the candidates provide a ControllerId that abstracts from different Controllers or indicate configurability via CanIfCtrlId.
SWS_CANIF_00655,CanIf,can_interface,7.5 Physical channel view,35,,missing,1.00,,None of the candidates provide a TransceiverId or indicate a configurable CanIfTrcvId as required.
SWS_CANIF_00847,CanIf,can_interface,7.4.2 Dynamic receive L-PDUs,35,,partial,0.80,communication/CanIf/inc/CanIf_ConfigTypes.h:85-133 communication/CanIf/inc/CanIf_ConfigTypes.h:66-77 communication/CanIf/inc/CanIf_ConfigTypes.h:134-159,"The candidates provide some relevant structures for configuring CAN ID ranges and filtering, but do not fully confirm all aspects of the requirement."
SWS_CANIF_00848,CanIf,can_interface,7.4.2 Dynamic receive L-PDUs,35,,missing,1.00,,None of the candidates implement the requirement to place the CanId in the MetaDataItem of type CAN_ID_32 upon reception of a dynamic L-SDU.
SWS_CANIF_00211,CanIf,can_interface,7.7 BasicCAN and FullCAN reception,39,,missing,0.90,,None of the candidates implement the requirement for executing the software acceptance filter in the context of the CanIf_RxIndication callback.
SWS_CANIF_00281,CanIf,can_interface,7.7 BasicCAN and FullCAN reception,39,SRS_Can_01140,unverifiable,0.50,,The candidates do not provide sufficient information to determine if the requirement for handling StandardCAN and ExtendedCAN IDs in mixed mode is implemented.
SWS_CANIF_00467,CanIf,can_interface,7.7 BasicCAN and FullCAN reception,39,,unverifiable,0.90,,"The candidates provide type definitions and structures related to HTH and HRH configurations, but do not show any implementation of the configuration and storage of orders as required."
SWS_CANIF_00468,CanIf,can_interface,7.7 BasicCAN and FullCAN reception,39,,partial,0.80,communication/CanIf/inc/CanIf_ConfigTypes.h:134-159 communication/CanIf/inc/CanIf_ConfigTypes.h:161-180 communication/CanIf/inc/CanIf_ConfigTypes.h:182-197,"While the structures reference hardware handles, the specific requirement for referencing a hardware acceptance filter is not explicitly implemented in the provided code."
SWS_CANIF_00469,CanIf,can_interface,7.7 BasicCAN and FullCAN reception,39,,unverifiable,0.50,,The candidates do not provide sufficient information to determine if the software acceptance filter configuration for BasicCAN is implemented.
SWS_CANIF_00877,CanIf,can_interface,7.7 BasicCAN and FullCAN reception,39,SRS_Can_01140 SRS_Can_01141 SRS_Can_01162,unverifiable,0.90,,"The candidates do not provide enough information to determine if the requirement is implemented, as they mainly consist of declarations and type definitions without the actual implementation logic."
SWS_CANIF_00382,CanIf,can_interface,7.9 Transmit request,41,SRS_Can_01126,implemented,0.90,communication/CanIf/src/CanIf.c:732-859,The code in CanIf_Transmit implements the requirement by reporting the runtime error and returning the appropriate error code when the channel mode is offline.
SWS_CANIF_00904,CanIf,can_interface,7.10 Transmit data flow,42,SRS_Can_01172,unverifiable,0.90,,The candidates do not provide sufficient information to determine if the requirement regarding Bus Mirroring and frame storage is implemented.
SWS_CANIF_00063,CanIf,can_interface,7.11.2.1 Storage of L-PDUs in the transmit L-PDU buffer,44,SRS_Can_01020,partial,0.70,communication/CanIf/src/CanIf.c:732-859 communication/CanIf/src/CanIf.c:861-932,"While there are indications of buffering in the code, it is not definitively clear that the full requirement for buffering of CAN L-PDUs is implemented."
SWS_CANIF_00381,CanIf,can_interface,7.11.2.1 Storage of L-PDUs in the transmit L-PDU buffer,44,SRS_Can_01126,partial,0.80,communication/CanIf/src/CanIf.c:732-859 communication/CanIf/src/CanIf.c:861-932,"The candidates show some relevant behavior regarding transmission and confirmation, but do not fully implement the requirement to check for buffering when Can_Write returns CAN_BUSY."
SWS_CANIF_00849,CanIf,can_interface,7.11.2.1 Storage of L-PDUs in the transmit L-PDU buffer,44,,partial,0.80,communication/CanIf/inc/CanIf_ConfigTypes.h:228-281 communication/CanIf/src/CanIf.c:1208-1265,"While the candidates indicate that the CanId is part of the transmit L-PDU configuration and is used in transmission functions, it is unclear if the specific requirement of storing the CanId in the CanIfTxBuffer is fully met."
SWS_CANIF_00881,CanIf,can_interface,7.11.2.1 Storage of L-PDUs in the transmit L-PDU buffer,44,SRS_Can_01126,missing,1.00,,None of the candidates implement the requirement regarding the behavior of Can_Write() and buffering of transmit requests.
SWS_CANIF_00895,CanIf,can_interface,7.11.2.1 Storage of L-PDUs in the transmit L-PDU buffer,44,,missing,1.00,,None of the candidates implement the requirement to buffer data and report a runtime error when the rejected data length exceeds the configured size.
SWS_CANIF_00068,CanIf,can_interface,7.11.2.1 Storage of L-PDUs in the transmit L-PDU buffer,45,SRS_Can_01011,missing,1.00,,None of the candidates implement the requirement regarding the behavior of Can_Write() and the buffering of CanIf Tx L-PDUs.
SWS_CANIF_00835,CanIf,can_interface,7.11.2.1 Storage of L-PDUs in the transmit L-PDU buffer,45,,partial,0.80,communication/CanIf/src/CanIf.c:732-859 communication/CanIf/inc/CanIf_ConfigTypes.h:199-208,"The code partially implements the requirement by checking the buffer reference and indirectly validating the buffer size, but it does not explicitly enforce the buffer size being greater than zero."
SWS_CANIF_00836,CanIf,can_interface,7.11.2.1 Storage of L-PDUs in the transmit L-PDU buffer,45,,partial,0.80,communication/CanIf/src/CanIf.c:336-378,"The code shows an attempt to buffer a CanIf Tx L-PDU, but it does not confirm that the buffer size is greater than zero or that the L-PDU is not already buffered in all cases."
SWS_CANIF_00837,CanIf,can_interface,7.11.2.1 Storage of L-PDUs in the transmit L-PDU buffer,45,,partial,0.80,communication/CanIf/src/CanIf.c:732-859,"While CanIf_Transmit() is relevant and includes some error handling, it does not fully implement the requirement as it does not ensure that E_NOT_OK is returned when the buffer is full and a new L-PDU is attempted to be stored."
SWS_CANIF_00033,CanIf,can_interface,7.11.3 Data integrity of transmit L-PDU buffers,46,SRS_Can_01114,missing,1.00,,The candidates do not implement the requirement for protecting against concurrent access to Transmit L-PDU Buffers.
SWS_CANIF_00070,CanIf,can_interface,7.11.2.2 Clearance of transmit L-PDU buffers,46,,partial,0.80,communication/CanIf/src/CanIf.c:861-932 communication/CanIf/src/CanIf.c:732-859,"The code in CanIf_TxConfirmation (candidate 1) and CanIf_Transmit (candidate 5) suggests that L-PDUs are transmitted, but it does not clearly show that they are handled in strict priority order as required."
SWS_CANIF_00183,CanIf,can_interface,7.11.2.2 Clearance of transmit L-PDU buffers,46,,implemented,0.90,communication/CanIf/src/CanIf.c:861-932,The code in CanIf_TxConfirmation directly implements the requirement by removing the L-PDU from the buffer when Can_Write returns E_OK.
SWS_CANIF_00386,CanIf,can_interface,7.11.2.2 Clearance of transmit L-PDU buffers,46,,implemented,0.90,communication/CanIf/src/CanIf.c:861-932,The code in CanIf_TxConfirmation clearly implements the requirement by checking for pending L-PDUs in the transmit buffers.
SWS_CANIF_00387,CanIf,can_interface,7.11.2.3 Initialization of transmit L-PDU buffers,46,,implemented,1.00,communication/CanIf/src/CanIf.c:516-583,"The implementation of CanIf_Init() includes logic to initialize transmit buffers, which aligns with the requirement."
SWS_CANIF_00668,CanIf,can_interface,7.11.2.2 Clearance of transmit L-PDU buffers,46,,partial,0.80,communication/CanIf/src/CanIf.c:861-932,"The code partially implements the requirement by calling Can_Write() for pending PDUs, but it does not ensure that the PDU with the highest priority is selected."
SWS_CANIF_00383,CanIf,can_interface,7.12 Transmit confirmation,47,,implemented,0.90,communication/CanIf/src/CanIf.c:861-932,The code in CanIf_TxConfirmation implements the required behavior of notifying the upper layer about the transmission.
SWS_CANIF_00740,CanIf,can_interface,7.12 Transmit confirmation,47,,missing,1.00,,None of the candidates implement the requirement regarding buffering TxConfirmation information when the CAN controller is in the CAN_CS_STARTED state.
SWS_CANIF_00905,CanIf,can_interface,7.12 Transmit confirmation,47,SRS_Can_01172,missing,1.00,,The candidates do not implement the requirement for calling Mirror_ReportCanFrame() when Bus Mirroring is enabled and a frame is confirmed.
SWS_CANIF_00056,CanIf,can_interface,7.14 Receive indication,50,,implemented,0.90,communication/CanIf/src/CanIf.c:1170-1179,The candidate code directly implements the requirement by identifying the target upper layer module based on the configuration.
SWS_CANIF_00135,CanIf,can_interface,7.14 Receive indication,50,SRS_BSW_00325,partial,0.80,communication/CanIf/src/CanIf.c:1170-1179,"The code indicates that it is prepared to call a configured receive indication service, but does not fully implement the requirement as it lacks the actual invocation of the callback with the necessary parameters."
SWS_CANIF_00297,CanIf,can_interface,7.14 Receive indication,50,,missing,1.00,,None of the candidates implement the requirement as they either indicate non-implementation or do not provide the necessary functionality.
SWS_CANIF_00389,CanIf,can_interface,7.14 Receive indication,50,,missing,1.00,,The candidates do not implement the requirement for processing Software Filtering in the CanIf_RxIndication function.
SWS_CANIF_00390,CanIf,can_interface,7.14 Receive indication,50,,partial,0.80,communication/CanIf/src/CanIf.c:1152-1157 communication/CanIf/src/CanIf.c:1170-1179,"While the candidates show some relevant checks and processing related to data length, it is unclear if all conditions of the requirement are fully met."
SWS_CANIF_00851,CanIf,can_interface,7.14 Receive indication,50,,missing,1.00,,None of the candidates implement the requirement to copy the PDU payload to the static receive buffer and the CAN ID to the MetaDataItem of type CAN_ID_32.
SWS_CANIF_00906,CanIf,can_interface,7.14 Receive indication,50,SRS_Can_01172,missing,1.00,,None of the candidates implement the requirement for calling Mirror_ReportCanFrame() when CanIf_RxIndication() is invoked after enabling bus mirroring.
SWS_CANIF_00198,CanIf,can_interface,7.15 Read received data,51,,missing,1.00,,The candidates do not implement the requirement regarding the storage of received L-SDUs based on the specified configuration parameters.
SWS_CANIF_00199,CanIf,can_interface,7.15 Read received data,51,,missing,1.00,,None of the candidates implement the requirement as they either state that the functionality is not implemented or do not provide the necessary logic to fulfill the requirement.
SWS_CANIF_00064,CanIf,can_interface,7.17 Data integrity,52,SRS_BSW_00312,unverifiable,0.90,,The candidates do not provide sufficient information to determine if the shared code is reentrant as required.
SWS_CANIF_00472,CanIf,can_interface,7.16 Read Tx/Rx notification status,52,,missing,1.00,,None of the candidates implement the requirement to store the current notification status for each transmit L-SDU when the configuration parameter is set to TRUE.
SWS_CANIF_00473,CanIf,can_interface,7.16 Read Tx/Rx notification status,52,,missing,1.00,,None of the candidates implement the requirement to store the current notification status for each receive L-SDU when the configuration parameter is set to TRUE.
SWS_CANIF_00485,CanIf,can_interface,7.18.2 CAN Controller Operation Modes,54,,implemented,1.00,communication/CanIf/src/CanIf.c:507-514,The code clearly implements the requirement by clearing the transmit buffers when the controller enters the stopped state.
SWS_CANIF_00677,CanIf,can_interface,7.18.2 CAN Controller Operation Modes,54,SRS_Can_01162 SRS_Can_02003,partial,0.80,communication/CanIf/src/CanIf.c:732-859,"The code partially implements the requirement by returning E_NOT_OK when the controller is in the CAN_CS_STOPPED state, but it does not fully verify the PduIdType parameter assignment to the CAN Controller."
SWS_CANIF_00711,CanIf,can_interface,7.18.2 CAN Controller Operation Modes,54,,partial,0.80,communication/CanIf/src/CanIf.c:585-643,"The code partially implements the requirement by defining the function and indicating a callback, but it does not directly call CanSm_ControllerModeIndication as required."
SWS_CANIF_00712,CanIf,can_interface,7.18.2 CAN Controller Operation Modes,54,,partial,0.80,communication/CanIf/src/CanIf.c:1626-1647 communication/CanSM/src/CanSM.c:1166-1194,"The requirement specifies a call from CanIf_TrcvModeIndication to CanSM_TransceiverModeIndication, which is not fully implemented as the call is missing."
SWS_CANIF_00724,CanIf,can_interface,7.18.2 CAN Controller Operation Modes,54,,partial,0.80,communication/CanIf/src/CanIf.c:1450-1495 communication/CanSM/src/CanSM.c:252-289,"The requirement specifies that CanIf_ControllerBusOff must call CanSM_ControllerBusOff, which is partially satisfied by the code, but the full implementation of the requirement is not evident."
SWS_CANIF_00739,CanIf,can_interface,7.18.2 CAN Controller Operation Modes,54,,missing,1.00,,None of the candidates implement the requirement to inform upper layer modules about failed transmission when the controller enters the CAN_CS_STOPPED state.
SWS_CANIF_00395,CanIf,can_interface,7.18.4.1 Wake-up detection,56,,implemented,0.90,communication/CanIf/src/CanIf.c:1654-1707,The implementation of CanIf_CheckWakeup includes the necessary calls to check the wake-up source as specified.
SWS_CANIF_00678,CanIf,can_interface,7.18.4.1 Wake-up detection,56,,partial,0.80,communication/CanIf/src/CanIf.c:1654-1707,"The implementation partially fulfills the requirement by checking the return value of CanTrcv_CheckWakeup, but it does not explicitly handle the case where all calls return E_NOT_OK."
SWS_CANIF_00720,CanIf,can_interface,7.18.4.1 Wake-up detection,56,,implemented,0.90,communication/CanIf/src/CanIf.c:1654-1707,"The implementation of CanIf_CheckWakeup directly checks the return value of CanTrcv_CheckWakeup, which aligns with the requirement."
SWS_CANIF_00179,CanIf,can_interface,7.18.4.2 Wake-up Validation,57,SRS_Can_01136,partial,0.80,communication/CanIf/src/CanIf.c:1714-1793,"The code partially implements the requirement by validating wakeup sources in CanIf_CheckValidation, but it does not fulfill the requirement to call User_ValidateWakeupEvent."
SWS_CANIF_00286,CanIf,can_interface,7.18.4.2 Wake-up Validation,57,SRS_Can_01151,missing,1.00,,None of the candidates implement the requirement for wake-up validation as specified.
SWS_CANIF_00756,CanIf,can_interface,7.18.4.2 Wake-up Validation,57,,partial,0.80,communication/CanIf/src/CanIf.c:585-643,"The code partially addresses the requirement by checking the controller mode, but it lacks the implementation to clear the stored event."
SWS_CANIF_00073,CanIf,can_interface,7.19.2.1 CANIF_OFFLINE,59,,partial,0.80,communication/CanIf/src/CanIf.c:495-505 communication/CanIf/src/CanIf.c:732-859,"The code partially implements the requirement by handling transmit requests and clearing buffers, but does not address all aspects such as preventing receive indication callbacks."
SWS_CANIF_00864,CanIf,can_interface,7.19.2.1 CANIF_OFFLINE,59,,partial,0.80,communication/CanIf/src/CanIf.c:516-583,"The code partially addresses the requirement by setting the PduMode to offline for each channel during initialization, but it does not confirm that every channel is switched to CANIF_OFFLINE."
SWS_CANIF_00865,CanIf,can_interface,7.19.2.1 CANIF_OFFLINE,59,,partial,0.80,communication/CanIf/src/CanIf.c:645-711,"The function partially implements the requirement by handling the CANIF_CS_SLEEP case, but it does not fulfill the requirement to set the PDU channel mode to CANIF_OFFLINE."
SWS_CANIF_00866,CanIf,can_interface,7.19.2.1 CANIF_OFFLINE,59,,partial,0.80,communication/CanIf/src/CanIf.c:645-711 communication/CanIf/src/CanIf.c:1450-1495,"While both functions are related to setting the controller mode, neither explicitly implements the requirement to set the PDU channel mode to CANIF_TX_OFFLINE."
SWS_CANIF_00075,CanIf,can_interface,7.19.2.2 CANIF_ONLINE,60,,implemented,0.90,communication/CanIf/src/CanIf.c:732-859 communication/CanIf/src/CanIf.c:861-932 communication/CanIf/src/CanIf.c:1119-1124,The candidates collectively implement the required behavior for enabling transmit requests and callback services.
SWS_CANIF_00118,CanIf,can_interface,7.19.2.1 CANIF_OFFLINE,60,,implemented,0.90,communication/CanIf/src/CanIf.c:1450-1495,The code in CanIf_ControllerBusOff implements the behavior mandated by the requirement regarding the BusOff notification.
SWS_CANIF_00489,CanIf,can_interface,7.19.2.1 CANIF_OFFLINE,60,,partial,0.80,communication/CanIf/src/CanIf.c:495-505 communication/CanIf/src/CanIf.c:732-859 communication/CanIf/src/CanIf.c:861-932,"The code partially implements the requirement by addressing some of the mandated behaviors, but not all aspects are fully covered."
SWS_CANIF_00072,CanIf,can_interface,7.19.2.3 CANIF_OFFLINE_ACTIVE,61,,partial,0.80,communication/CanIf/src/CanIf.c:732-859,The code partially implements the requirement by checking the channel mode but does not fully satisfy the requirement of calling the confirmation callback immediately for L-PDUs in the specified mode.
SWS_CANIF_00951,CanIf,can_interface,7.20 Software receive filter,61,SRS_Can_02003,unverifiable,0.00,,The provided code does not contain any implementation details related to the specified requirement for comparing CAN XL frame parameters.
SWS_CANIF_00952,CanIf,can_interface,7.20 Software receive filter,61,SRS_Can_02003,missing,1.00,,None of the candidates implement the requirement regarding the comparison of Priority ID and VCID for CAN XL frames with SDU Type 03h.
SWS_CANIF_00953,CanIf,can_interface,7.20 Software receive filter,62,SRS_Can_02003,unverifiable,0.00,,The candidates do not provide sufficient information to determine if the requirement is implemented.
SWS_CANIF_00954,CanIf,can_interface,7.20 Software receive filter,62,SRS_Can_02003,unverifiable,0.00,,The candidates do not provide sufficient information to determine if the requirement regarding CAN ID filtering based on CAN XL Params is implemented.
SWS_CANIF_00955,CanIf,can_interface,7.20 Software receive filter,62,SRS_Can_02003,missing,0.90,,None of the candidates implement the requirement to drop frames when the CAN XL Params do not match the CanIfRxPduXLParams.
SWS_CANIF_00956,CanIf,can_interface,7.20 Software receive filter,62,SRS_Can_02003,unverifiable,0.00,,The candidates do not provide sufficient information to determine if the requirement is implemented.
SWS_CANIF_00030,CanIf,can_interface,7.20.1 Software filtering concept,63,SRS_Can_01018,unverifiable,0.90,,"The candidates do not provide sufficient information to determine if the requirement is implemented, as they focus on configuration types and annotations that do not directly show the implementation of the software filtering algorithm."
SWS_CANIF_00645,CanIf,can_interface,7.20.1 Software filtering concept,63,,implemented,0.90,communication/CanIf/src/CanIf.c:947-999 communication/CanIf/src/CanIf.c:1001-1031,"Both the binarySearch and linearSearch functions implement the filtering of CanIds based on defined upper and lower limits, as specified in the requirement."
SWS_CANIF_00646,CanIf,can_interface,7.20.1 Software filtering concept,63,,partial,0.80,communication/CanIf/src/CanIf.c:947-999 communication/CanIf/src/CanIf.c:1001-1031,"While the binarySearch and linearSearch functions implement logic to filter CAN IDs based on their ranges and types, the requirement specifies configurability for these ranges, which is not fully addressed in the provided code."
SWS_CANIF_00852,CanIf,can_interface,7.20.1 Software filtering concept,63,,unverifiable,0.00,,The candidates do not provide enough information to determine if the software filter selection based on CanId and ranges is implemented.
SWS_CANIF_00026,CanIf,can_interface,7.21 Data Length Check,64,SRS_Can_01005,partial,0.80,communication/CanIf/src/CanIf.c:1152-1157,"The code includes a check for the Data Length against a configured value, but it does not explicitly show acceptance of all valid L-PDUs as required."
SWS_CANIF_00168,CanIf,can_interface,7.21 Data Length Check,64,,missing,1.00,,None of the candidates implement the requirement to report a runtime error code to the Det_ReportRuntimeError() service when a data length check fails.
SWS_CANIF_00829,CanIf,can_interface,7.21 Data Length Check,64,,partial,0.80,communication/CanIf/src/CanIf.c:1170-1179,"The candidate code partially implements the requirement by checking the user indication and identifying the target upper layer module, but it does not explicitly show the passing of the length value to the upper layer."
SWS_CANIF_00830,CanIf,can_interface,7.21 Data Length Check,64,,unverifiable,0.50,,"The candidates do not provide sufficient information to determine if the requirement is implemented, as they do not clearly show the handling of the Data Length Check configuration."
SWS_CANIF_00902,CanIf,can_interface,7.21 Data Length Check,64,,unverifiable,0.90,,The candidates do not provide sufficient information to determine if the Data Length Check is enabled globally or disabled individually per PDU.
SWS_CANIF_00747,CanIf,can_interface,7.25 Partial Networking,69,,partial,0.80,communication/CanIf/src/CanIf.c:174-185 communication/CanIf/src/CanIf.c:1330-1338,"While there are indications of support for a PnTxFilter in the code, it is not clear if the complete requirement is fully implemented."
SWS_CANIF_00748,CanIf,can_interface,7.25 Partial Networking,69,,partial,0.80,communication/CanIf/src/CanIf.c:516-583 communication/CanIf/src/CanIf.c:1330-1338,"The code includes checks for the configuration of Tx L-PDUs, but it does not explicitly ensure that the PnTxFilter transitions its modes based on the count of configured Tx L-PDUs."
SWS_CANIF_00749,CanIf,can_interface,7.25 Partial Networking,69,,partial,0.80,communication/CanIf/src/CanIf.c:1330-1338 communication/CanIf/src/CanIf.c:645-711,"While the enabling of the PnTxFilter is present in the code, it is not clear if it is directly linked to the CanIf_SetControllerMode function when transitioning to CAN_CS_SLEEP."
SWS_CANIF_00750,CanIf,can_interface,7.25 Partial Networking,69,,partial,0.80,communication/CanIf/src/CanIf.c:732-859,"The code partially implements the requirement by blocking Tx requests when the PnTxFilter is enabled, but it does not explicitly check against the configured CanIfTxPduPnFilterPdus."
SWS_CANIF_00751,CanIf,can_interface,7.25 Partial Networking,69,,partial,0.80,communication/CanIf/src/CanIf.c:861-932,"The code partially implements the requirement by defining the function CanIf_TxConfirmation, but it does not clearly demonstrate the disabling of the corresponding PnTxFilter as mandated."
SWS_CANIF_00863,CanIf,can_interface,7.25 Partial Networking,69,,implemented,0.90,communication/CanIf/src/CanIf.c:516-583,The code in CanIf_Init clearly shows that the PnTxFilter is enabled during initialization when the corresponding configuration is set.
SWS_CANIF_00752,CanIf,can_interface,7.25 Partial Networking,70,,partial,0.80,communication/CanIf/src/CanIf.c:1341-1431,"The implementation partially addresses the requirement by invoking a related function, but it does not fully implement the specified behavior for all cases."
SWS_CANIF_00878,CanIf,can_interface,7.25 Partial Networking,70,,partial,0.80,communication/CanIf/src/CanIf.c:1341-1431,"The code partially implements the requirement by enabling the PnTxFilter in certain conditions, but it does not fully address the specific case of calling CanIf_SetPduMode with CANIF_TX_OFFLINE."
SWS_CANIF_00896,CanIf,can_interface,7.25 Partial Networking,70,,missing,1.00,,"None of the candidates implement the requirement that states if CanIf_RxIndication() is called and PnTxFilter is enabled, the corresponding PnTxFilter shall be disabled."
SWS_CANIF_00913,CanIf,can_interface,7.28 Security Events,72,RS_Ids_00810,missing,1.00,,None of the candidates implement the requirement regarding security event reporting for the CanIf module.
SWS_CANIF_00937,CanIf,can_interface,7.27.1 Dynamic Control of CAN XL Attributes,72,SRS_Can_02003,missing,1.00,,None of the candidates implement the requirement to extract specific CAN XL parameters from CanXL_Params and collect them into the PDU's MetaData.
SWS_CANIF_00938,CanIf,can_interface,7.27.1 Dynamic Control of CAN XL Attributes,72,SRS_Can_02003,unverifiable,0.00,,The candidates do not provide sufficient information to determine if the requirement regarding the assembly of CanXL_Params from specific MetaData items is implemented.
SWS_CANIF_91010,CanIf,can_interface,7.28 Security Events,72,RS_Ids_00810,missing,1.00,,None of the candidates implement the specified security events for CanIf as described in the requirement.
SWS_CANIF_00915,CanIf,can_interface,7.28 Security Events,73,RS_Ids_00810,missing,1.00,,None of the candidates implement the requirement for CanIf_ErrorNotification to report a Tx related error.
SWS_CANIF_00916,CanIf,can_interface,7.28 Security Events,73,RS_Ids_00810,missing,1.00,,None of the candidates implement the requirement regarding the CanIf_ErrorNotification function and the associated error reporting.
SWS_CANIF_00917,CanIf,can_interface,7.28 Security Events,73,RS_Ids_00810,missing,0.90,,None of the candidates implement the requirement regarding the reporting of the security event SEV_CAN_ERRORSTATE_PASSIVE based on the specified conditions.
SWS_CANIF_00918,CanIf,can_interface,7.28 Security Events,74,RS_Ids_00810,partial,0.80,communication/CanIf/src/CanIf.c:1450-1495,"The function CanIf_ControllerBusOff is present and performs some actions related to bus-off events, but it does not fulfill the requirement to report the specific security event."
SWS_CANIF_91006,CanIf,can_interface,7.29.1 Development Errors,74,,missing,0.90,,None of the candidates implement the specified development error codes for the CanIf module.
SWS_CANIF_91007,CanIf,can_interface,7.29.2 Runtime Errors,75,,missing,1.00,,None of the candidates implement the requirement regarding runtime errors and their related error codes.
SWS_CANIF_00142,CanIf,can_interface,8.1 Imported types,76,SRS_BSW_00348 SRS_BSW_00353,missing,1.00,,"None of the candidates implement the requirement for the imported datatypes, as indicated by the annotations and the absence of the required types in the code."
SWS_CANIF_00144,CanIf,can_interface,8.2.1 CanIf_ConfigType,76,,implemented,1.00,communication/CanIf/inc/CanIf_ConfigTypes.h:403-416,"The candidate code defines the CanIf_ConfigType structure as required, which is necessary for the initialization of the CAN interface."
